Start;Duration;Pitch;Velocity;instrument
209.25;0.25;75;1.0;
209.5;0.25;77;1.0;
209.75;0.25;74;1.0;
210.0;0.25;72;1.0;
210.25;0.25;74;1.0;
210.5;0.25;75;1.0;
210.75;0.25;72;1.0;
211.0;0.25;70;1.0;
211.25;0.25;72;1.0;
211.5;0.25;74;1.0;
211.75;0.25;70;1.0;
212.0;0.25;72;1.0;
212.25;0.37;70;1.0;
213.0;0.75;69;1.0;
213.75;0.25;74;1.0;
214.0;1.0;67;1.0;
214.88;-0.0;70;1.0;
214.88;-0.0;74;1.0;
215.0;0.5;79;1.0;
216.0;0.5;74;1.0;
217.0;0.5;74;1.0;
218.0;1.5;75;1.0;
219.5;0.5;74;1.0;
220.5;1.0;72;1.0;
221.5;0.25;71;1.0;
221.75;0.25;72;1.0;
222.0;0.25;74;1.0;
222.25;0.25;72;1.0;
222.5;0.25;71;1.0;
222.75;0.25;74;1.0;
223.0;0.5;72;1.0;
224.0;0.5;72;1.0;
225.0;0.5;72;1.0;
226.0;1.5;74;1.0;
227.5;0.5;72;1.0;
228.5;1.0;70;1.0;
229.5;0.25;69;1.0;
229.75;0.25;70;1.0;
230.0;0.25;72;1.0;
230.25;0.25;70;1.0;
230.5;0.25;69;1.0;
230.75;0.25;72;1.0;
231.0;0.5;70;1.0;
232.0;0.5;69;1.0;
233.0;0.5;69;1.0;
234.0;0.25;72;1.0;
234.5;0.5;70;1.0;
235.5;1.0;69;1.0;
236.5;0.5;67;1.0;
237.5;0.25;66;1.0;
237.75;0.25;67;1.0;
238.0;0.25;69;1.0;
238.25;0.25;67;1.0;
238.5;0.25;66;1.0;
238.75;0.25;69;1.0;
239.0;0.5;67;1.0;
240.0;0.5;74;1.0;
241.75;0.12;62;1.0;
242.0;0.5;64;1.0;
243.0;0.5;66;1.0;
244.0;0.25;67;1.0;
244.5;1.0;67;1.0;
245.5;0.25;66;1.0;
245.75;0.25;67;1.0;
246.0;0.25;69;1.0;
246.25;0.25;67;1.0;
246.5;0.25;66;1.0;
246.75;0.25;69;1.0;
247.0;0.5;67;1.0;
248.0;0.5;79;1.0;
249.0;0.5;74;1.0;
250.0;2.0;55;0.8976377952755905;
250.0;2.0;67;0.8976377952755905;
